
[26, 34, 37, 47, 48, 50, 58];
[14, 15, 20, 25, 36, 50, 55];
[7, 19, 28, 30, 50, 54, 59];
[1, 10, 14, 23, 25, 27, 29];
[13, 14, 24, 28, 30, 39, 52];
[3, 25, 27, 28, 33, 48, 49];
[1, 7, 24, 31, 55, 58, 60];
[6, 16, 27, 28, 41, 45, 49];
[10, 13, 20, 22, 39, 50, 52];
[4, 7, 37, 41, 42, 47, 50];
[10, 22, 26, 29, 35, 41, 44];
[5, 12, 33, 34, 35, 38, 46];
[9, 25, 32, 33, 40, 42, 48];
[10, 16, 22, 37, 52, 55, 56];
[15, 19, 26, 35, 50, 52, 53];
[4, 9, 11, 25, 39, 51, 59];
[5, 7, 17, 31, 41, 55, 60];
[4, 9, 20, 46, 47, 50, 54];
[5, 8, 12, 26, 30, 35, 38];
[1, 11, 17, 19, 24, 55, 57];
[3, 4, 15, 22, 23, 38, 60];
[2, 6, 7, 10, 12, 31, 39];
[9, 10, 16, 18, 25, 41, 58];
[13, 22, 28, 30, 36, 39, 52];
[18, 20, 21, 27, 31, 33, 37];
[7, 18, 32, 34, 37, 46, 58];
[31, 35, 36, 39, 43, 56, 57];
[3, 27, 34, 46, 49, 51, 58];
[14, 25, 40, 43, 47, 55, 57];
[9, 10, 36, 39, 47, 52, 54];
[3, 4, 42, 44, 52, 56, 58];
[6, 25, 27, 43, 46, 50, 51];
[3, 15, 25, 29, 37, 41, 46];
[8, 31, 43, 46, 47, 51, 60];
[11, 17, 21, 31, 36, 51, 52];
[14, 25, 32, 43, 53, 58, 59];
[8, 20, 23, 29, 43, 50, 51];
[1, 13, 22, 26, 30, 50, 54];
[11, 13, 14, 24, 31, 39, 58];
[9, 10, 23, 28, 37, 45, 53];
[14, 16, 19, 21, 23, 37, 59];
[3, 12, 35, 39, 40, 53, 59];
[11, 12, 22, 23, 33, 36, 37];
[9, 10, 24, 27, 31, 54, 60];
[7, 9, 15, 16, 22, 52, 57];
[14, 19, 23, 29, 32, 38, 51];
[1, 28, 36, 42, 51, 52, 55];
[13, 16, 36, 38, 52, 55, 56];
[3, 17, 19, 31, 32, 40, 51];
[27, 32, 33, 34, 36, 46, 56];
[10, 12, 25, 40, 41, 42, 59];
[33, 34, 44, 49, 52, 53, 55];
[4, 15, 16, 21, 24, 43, 46];
[23, 36, 39, 44, 45, 48, 57];
[7, 14, 16, 21, 25, 30, 51];
[11, 13, 20, 31, 43, 56, 60];
[13, 22, 42, 45, 49, 56, 58];
[14, 30, 36, 39, 46, 48, 49];
[18, 23, 44, 48, 51, 54, 58];
[17, 18, 35, 48, 54, 56, 58];
